trade_date,stock_code,stock_name,industry,close,volume
2026-01-01,000001,平安银行,银行,10.00,1000
2026-01-02,000001,平安银行,银行,11.00,1200
2026-01-04,000001,平安银行,银行,,1300
2026-01-05,000001,平安银行,银行,14.00,1250
2026-01-01,600000,浦发银行,银行,8.00,2000
2026-01-02,600000,浦发银行,银行,8.10,2100
2026-01-02,600000,浦发银行,银行,8.20,2200
2026-01-03,600000,浦发银行,银行,8.30,2150
2026-01-05,600000,浦发银行,银行,8.40,2250
2026-01-01,600519,贵州茅台,白酒,1800.00,300
2026-01-02,600519,贵州茅台,白酒,1810.00,320
2026-01-03,600519,贵州茅台,白酒,1820.00,310
2026-01-04,600519,贵州茅台,白酒,1830.00,330
2026-01-05,600519,贵州茅台,白酒,1840.00,315
